titre,auteur,editeur,date_edition,prix,photo,categories,etat,resume,_id
Gâteaux à thèmes inventifs,,Vemag Verlags,2012,3.30€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20087-1.JPG,Cuisine,Livre en bon état sous blister﻿,"Eclatants de couleurs et de gaieté, les gâteaux à thème sont autant de tentations auxquelles on ne peut que succomber. Ce livre agréablement illustré vous montre comment confectionner vous-même facilement ces chefs-d'oeuvre sucrés. Motifs rétro, décors pour les âmes romantiques, cochon rose porte bonheur, décorations dans l'esprit d'Halloween ou pour des mariages et d'autres jours de fête - ces gâteaux originaux et ludiques auront à coup sûr beaucoup de succès en toute occasion.",fac56288a06ee9dddff871ead7bbc8094d002f9b7ae37d01ffc0731e32b4c0cc
Le pouvoir naturel des aimants,Monique Vial,API Presse,2008,1.90€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20088-1.JPG,"Religion et Spiritualité,Esotérisme",Livre en bon état﻿,"Cet ouvrage est le premier guide d'initiation à la Magnétothérapie.Tous publics, il invite le profane à découvrir la face cachée des aimants, celle qui chaque jour fait apparaître de nouveaux pouvoirs, de nouveaux étonnements, mais aussi de formidables développements au travers de la Magnétothérapie.De l'explication du magnétisme à ses applications les plus inattendues, ce guide illustré de nombreux exemples et de croquis, apporte à chacun des réponses claires et des solutions nouvelles pour bien comprendre la Magnétothérapie et tout ce qu'elle peut changer dans votre vie.",19ab572522df69bc2b084f93dc6b05368a9561afd6f5282da277f5754910fcfc
Le guide du Feng Shui,Régine Saint-Arnauld,Marabout – Feng Shui n°2817,2003,2.20€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20089-1.JPG,"Religion et Spiritualité,Esotérisme",Livre en bon état﻿,"Véritable art de vivre en harmonie avec son environnement, le Feng Shui est fondé sur une observation rigoureuse de la nature et sur la circulation dynamique de l'énergie dans l'univers.Découvrez et appliquez ses principes essentiels pour créer autour de vous équilibre, bien-être, sérénité. Dans toutes les pièces de votre habitation, au jardin, au bureau, apprenez à repérer les vibrations négatives et transformez votre univers quotidien pour attirer le succès, l'amour, l'argent et la santé !",14a2c5d4d6b5a33a43bc91be3d0b8298625c258542e6cb0dae1d6d9534bf56c1
Découvrir le Feng Shui,Simon Brown,Marabout – Santé n°2802,2002,2.20€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20090-1.JPG,"Religion et Spiritualité,Esotérisme",Livre en bon état﻿,"Tout ce qui nous entoure : la maison, le bureau, le jardin, le décor… peut, par les énergies qui s'en dégagent, favoriser notre épanouissement et notre réussite ou, au contraire, nous nuire. Le Feng Shui, discipline chinoise millénaire, nous propose des règles de vie simples pour harmoniser notre environnement et tirer le meilleur parti du quotidien.Ce livre propose :- des méthodes pratiques pour localiser et maîtriser les énergies positives autour de soi ;- un moyen facile de calculer son propre calendrier pour connaître les moments les plus favorables aux changements ;- des conseils pour aménager les pièces et disposer les objets dans le but d'apaiser ou, au contraire, dynamiser.",d8a3ca5a0288f49d2378c3fb52e62abb3c08076230084165535d753ca544d17a
Le Feng Shui santé,Régine Saint-Arnauld,Marabout – Santé n°2856,2003,2.20€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20091-1.JPG,"Religion et Spiritualité,Esotérisme","Livre en bon état, couverture pliée﻿","Tout ce qui nous entoure dégage des énergies, bonnes ou mauvaises…Au premier syndrome de fatigue, de souffrance, de tristesse, ou quand survient un problème, un tracas, passez en revue votre installation et la disposition des meubles et des objets. Les ondes cosmiques, telluriques, électromagnétiques, certains matériaux et même certaines formes peuvent en effet occasionner des troubles.Ce livre explique comment les détecter, annuler leur effet ou, au contraire, en bénéficier en appliquant les principes essentiels du Feng Shui.Pour toutes les pièces d'habitation, le bureau, le jardin, il existe une disposition idéale, des objets, des couleurs, une lumière qui permettent de créer l'harmonie et les conditions favorables à la santé.",996b93618f2039c4490d3ef76c45257eadc03f32fb0db31aed1f8dc593ec9fdc
Le voile noir,Anny Duperey,Points n°P146,1995,2.20€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20093-1.JPG,"Société,Autobiographies et Témoignages",Livre en bon état﻿,"Anny Duperey a huit ans lorsque ses parents disparaissent dans un tragique accident domestique. Des années durant, elle tire un ""voile noir"" sur son passé et abandonne dans un coin sombre, sans même les regarder, les photos laissées par son père, le photographe Lucien Legras.Ce n'est que trente-cinq ans plus tard qu'elle les exhume enfin de leur ""tiroir-sarcophage"", et pose sur ce drame intime des mots d'une justesse bouleversante.",3aec1a4e15e17fa7e64f8f34ebf239877f4e700ac058fc738707d699f9ad2731
Connaître son chat,"Cédric Hernandez, Elodie Baunard et Virginie Poussin",Editions ESI,2011,4.40€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20094-1.JPG,"Animaux et Nature,Animaux",Livre en bon état﻿,"Certains sont joueurs, vifs, sociables, dociles, d'autres sont caractériels, solitaires, pantouflards, un poil peureux… Bien connaître au préalable les caractéristiques d'une race est essentiel pour vivre en harmonie avec son félin. Découvrez 70 races de chats pour faire le bon choix et trouver votre compagnon idéal.",41917754cb60cf790da3270e5e055754d20f1b6ee07c2e9b29528047c3ceb26b
Comment utiliser l’aimant en radionique,Baron de Launay,Avenir & Radionique,1998,50.00€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20095-1.JPG,"Religion et Spiritualité,Esotérisme","Livre en bon état, couverture un peu usée﻿","Depuis l'aube des temps, l'aimant naturel ou l'aimant permanent a surpris et émerveillé toutes les civilisations. A l'aube de l'an 2000, la radionique permet maintenant une utilisation spéciale de l'aimant. C'est ainsi que vous trouverez dans ce livre de succulentes recettes anciennes mais aussi les méthodes pour se soigner en utilisant les aimants.Mais au delà de ces usages classiques, la radionique va permettre à l'aimant de devenir un outil aux multiples secrets. Simple d'emploi, peu coûteux, l'aimant saura vous séduire. Ce livre vous offrira de multiples possibilités comme les actions à distance, attirer l'argent, lier ou délier les personnes, etc...",c1d3e56d0d230118c22bd2b10c5cc79170add9724f1e489571dbb322306f8413
L’après vie,Hélène Renard,France Loisirs,1986,4.40€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20096-1.JPG,"Religion et Spiritualité,Esotérisme",Livre en bon état﻿,"""Le sujet ? Périlleux. Le titre ? L'Après-vie. Je l'achève tout juste : il est fascinant. Par la clarté du style, la rigueur de l'enquête et la hardiesse du propos. Il fallait oser poser cette question essentielle : peut-on, de son vivant, faire des expériences qui plaideraient en faveur d'une vie après la mort ?""  Isabelle Garnier, Madame Figaro",cdf7d916c7c6bad606c4ac70173530a5d1ca574681e9b4b7b4cb26202af31ca6
ABC des couleurs,Daniel Béresniak,Grancher,2001,4.40€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20097-1.JPG,"Religion et Spiritualité,Esotérisme,Sciences humaines,Psychologie",Livre en bon état﻿,"La découverte de la magie, du langage et de l'application des couleurs vous permettra d'utiliser les couleurs plus consciemment pour vous exprimer et embellir votre vie. Manifestation de la lumière, la couleur illustre les relations qui unissent toutes choses sur un plan physique, physiologique ou psychologique.Manipuler les couleurs c'est agir à la manière d'un organiste qui répand des harmonies : leurs pouvoirs résident dans le fait qu'elles suscitent ce qu'elles symbolisent.Ce livre peut se lire en deux temps, mais sans obligation chronologique ; en effet, la première partie vous livre la symbolique des couleurs dans les différentes circonstances de la vie, alors que la seconde partie, essentiellement composée de tests, vous demande plus de réflexion personnelle, puisque munis d'un crayon de couleurs vous devez laisser aller vos aspirations pour ensuite mieux les comprendre.Après avoir lu cet ouvrage, vous saurez que regarder les couleurs c'est regarder autre chose que les couleurs elles-mêmes.",08a484246e380f75991541238a9f38885bbe66081754ca69b396bbdd017a913b
Les signes du destin Cancer,Caroline Pasquier et Jean-Pierre Nicolas,Editions du Rocher – Radio Monte-Carlo,1981,7.70€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20098-1.JPG,"Religion et Spiritualité,Esotérisme,Religion et Spiritualité,Astrologie",Livre en bon état﻿,"Tous les jours, depuis le 22 décembre 1980 - de 15h30 à 16h - Benoit Allemane raconte aux éditeurs de Radio Monte-Carlo la vie d'un personnage célèbre - mort ou vivant - dont la date de naissance coïncide avec le jour de l'émission.Passionnée d'astrologie, Françoise Hardy intervient au cours de l'émission, elle s'attache à montrer en quoi les planètes ont contribué au destin exceptionnel de ces personnages, que cette collection fait revivre, à votre intention.Si vous êtes Cancer, vous êtes du même signe que Lola Montès, Louis Armstrong, Pierre Perret et… Simone Veil !Grâce au ""Who's Who"" des Cancer, découvrez les célébrités nées le même jour que vous.Apprenez à calculer votre ascendant, et avec le jeu des astro-mariages, partez à la quête de votre partenaire idéal !",908c65aeb68cf3134e865f68da1da3c004f33cd8fb216c240c27ed02ae2a72de
"Le hameau au fond de l’eau, l’histoire de La Ciffrerie noyée dans le lac d’Avène",André Bernat,,2012,15.00€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20099-1.JPG,"Langues,Occitan,Langues,Français (Bilingue),Régionalisme","Livre en bon état, dédicacé﻿","Après la guerre, en 1945, un grand-père raconte à ses petits-enfants, l'histoire du hameau de La Ciffrerie, située sur la commune d'Avène, à mi-chemin entre le village d'Avène et celui de Ceilhes (Hérault), dans la haute vallée de l'Orb. A travers ses souvenirs, on découvre la vie quotidienne, rude et traditionnelle, la lente arrivée du progrès : construction de la route, scolarisation, nouvelles productions agricoles… Il évoque, les Bains d'Avène voisins, en plein essor, dans la première moitié du siècle. Il parle de l'épopée de l'ouverture de la Mine de plomb de La Rabasse, à proximité du hameau : deux mondes se croisent, les paysans côtoient les ouvriers de nationalités diverses et découvrent des cultures différentes.Le narrateur aborde ensuite l'histoire plus récente de La Ciffrerie. L'après-guerre va bouleverser le cours des choses : les Bains d'Avène périclitent, la Mine ferme ses portes. Même si le travail est toujours exigeant et le confort rudimentaire, les paysans restent très attachés au hameau et à la vallée. Ils doivent cependant répondre à de nouveaux défis : la mécanisation s'impose, les plus petites exploitations agricoles disparaissent… La vallée va être mise sens dessus dessous par la construction du barrage d'Avène, et sa mise en eau en 1963...Ce récit est un témoignage écrit en français et en occitan, que l'on parlait à La Ciffrerie.",4ad64e44977898aafb8985b45274078004fe12e2c4e4f996c9cfcef9abeabbce
Auguste ancien prisonnier de guerre,André Bernat,,2015,15.00€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20100-1.JPG,"Langues,Occitan,Langues,Français (Bilingue),Régionalisme","Livre en bon état, dédicacé, un coin un peu corné﻿","Auguste, est né dans une famille de fermiers aveyronnais dans le Rougier de Camarés au début du siècle dernier. La première guerre mondiale interrompt sa scolarité à l'âge de douze ans. Il va travailler à la ferme avec son père, alors que cinq de ses frères sont soldats.Marié, il est encore ouvrier agricole et ouvrier fromager saisonnier avant d'être mobilisé en 1939. Fait prisonnier de guerre, il reste en Allemagne pendant cinq ans, tandis que sa femme et ses enfants se réfugient à Avène (Hérault), près de la maison maternelle.Rentré malade d'Allemagne, il arrête son travail de domestique agricole : il travaille un moment à la Mine de la Rabasse à Avène, puis dans les caves de Roquefort.Ce récit nous raconte le quotidien de la société rurale de la première moitié du vingtième siècle. Il nous parle d'une génération qui a connu deux guerres, et de la situation des prisonniers de guerre, humiliante pendant leur captivité, et souvent aussi après leur retour au pays. Il souligne enfin la foi dans l'instruction dispensée par l'Ecole… Il est écrit en français et en occitan, la langue maternelle d'Auguste.",fd03086ac4932c18ee759df495c1812b9c7b56dabf479c2caf8e07294209ca8d
"Route du Col de la Bonette en poche, de l’Ubaye à la Haute-Tinée",Claude Gouron,Montagne sans frontières,2015,15.00€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20101-1.JPG,Voyages,Livre en bon état. Mot écrit sur la première page.﻿,"Rouler sur la chaussée la plus haute d'Europe ; dans la même matinée, passer de près de 3000 mètres d'altitude, là où la neige ne disparaît complètement que quelques semaines par an, à la Promenade des Anglais, les pieds dans la mer. Traverser un royaume d'alpages habités par les marmottes, les gypaètes, les bouquetins ou les chamois.S'arrêter et abandonner quelques heures son véhicule pour explorer un vallon sauvage, un col ou un sommet, au cœur du Parc national du Mercantour.Voilà une partie de ce que cette haute route propose à ses visiteurs. En images, découvrons quelques aspects de ce territoire particulier de haute-montagne, reliant les Alpes-de-Haute-Provence aux Alpes-Maritimes.",347f9e6cc19f5bcaa7848e6b335a19c7a09fd0154849bd8707315d52b663e6ce
Changez d’alimentation,Pr Henri Joyeux,Editions du Rocher,2013,4.30€,https://www.loccasiondelire.fr/photosLivres/moyennes/R20102-1.JPG,"Cuisine,Santé et Bien-être,Santé",Livre en bon état﻿,"L'organisme humain est heureusement très cohérent. Si nous lui donnons les bons aliments, nous avons le maximum de chances de rester en excellente santé et au maximum de nos capacités physiques, intellectuelles et affectives. L'essentiel est de garder des défenses immunitaires solides et efficaces pour empêcher l'envahissement bactérien ou viral et celui des pesticides de notre environnement que nous consommons par voie digestive ou respiratoire. Dans ce livre, le professeur Joyeux répond à toutes les questions.Comment l'obésité augmente-t-elle les risques de diabète, de cancers et de maladies auto-immunes ?Pourquoi le meilleur mode de cuisson est-il la vapeur douce et le barbecue vertical ? Comment les viandes rouges augmentent-elles le risque et les récidives de cancer du sein et du colon ?Pourquoi les hormones de la pilule et du THS sont-elles également en cause dans l'apparition des cancers hormono-dépendants (sein, utérus, ovaires…)?Comment les phytohormones des fruits, légumes, légumineuses protègent-elles des cancers digestifs, mais aussi des cancers hormono-dépendants, et même de l'ostéoporose ?Pourquoi la phobie de l'ostéoporose et comment la prévenir sans apport excessif de laitages animaux ?Quel est le danger des OGM pour la santé publique ?Comment une bonne nutrition peut-elle freiner ou stopper les syndromes des maladies auto-immunes : polyarthrite, sclérodermie, sclérose en plaques, maladie d'Alzheimer ?Un livre accessible à tous, avec un index facilitant les recherches. Des conseils pour votre santé, à mettre en application sans tarder.",e25578cfe6411bd048d828612c3b9946fd865a76f29c69dacd8a727a320c9ddc
